Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","SW_Cherry_MX_1.00u_PCB",106.194444,-93.960000,0.000000,top
"SW2","SW_Push","SW_Cherry_MX_1.00u_PCB",130.350000,-93.960000,0.000000,top
"SW3","SW_Push","SW_Cherry_MX_1.00u_PCB",154.505555,-93.960000,0.000000,top
"SW4","SW_Push","SW_Cherry_MX_1.00u_PCB",178.661111,-93.960000,0.000000,top
"SW5","RotaryEncoder_Switch_MP","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",168.750000,-68.000000,0.000000,top
"U1","MOUDLE-SEEEDUINO-XIAO","XIAO-Generic-Hybrid-14P-2.54-21X17.8MM",108.375000,-70.620000,0.000000,top
"U2","ER_OLEDM0.91_1x-I2C","ER_OLEDM0.91_1x-I2C",126.000000,-74.310000,90.000000,top
